TEMPORADA,# NIDO,ESPECIE,# HUEVOS,FECHA DE COLECTA,FECHA DE NACIMIENTO,CRIAS LOGRADAS,CRIAS NO LOGRADAS,ADOPTA,MES,AÑO,TASA DE SUPERVIVENCIA,,CRIAS LOGRADAS_1,,,,y = 19.872 + 1.280(Especie) + 0.012(Fecha) - 8.428(Temporada) - 0.008(Nido) + 0.851(Huevos)
A,1,GOLFINA,93,01/07/2022,15/08/2022,93,0,,8,2022,100.00%,,82.20529,,91.871,,
A,2,GOLFINA,105,02/07/2022,16/08/2022,102,3,,8,2022,97.14%,,92.44525,,102.219,,
A,3,GOLFINA,80,03/07/2022,17/08/2022,78,2,,8,2022,97.50%,,71.112,,,,
A,4,GOLFINA,70,03/07/2022,17/08/2022,65,5,,8,2022,92.86%,,62.5787,,,,
A,5,GOLFINA,68,03/07/2022,17/08/2022,67,1,,8,2022,98.53%,,60.87204,,,,
A,6,GOLFINA,82,10/07/2022,24/08/2022,80,2,,8,2022,97.56%,,72.81866,,,,
A,7,GOLFINA,90,10/07/2022,24/08/2022,90,0,,8,2022,100.00%,,79.6453,,,,
A,8,GOLFINA,68,10/07/2022,24/08/2022,67,1,,8,2022,98.53%,,60.87204,,,,
A,9,GOLFINA,60,10/07/2022,24/08/2022,56,4,,8,2022,93.33%,,54.0454,,,,
A,10,GOLFINA,70,10/07/2022,24/08/2022,68,2,,8,2022,97.14%,,62.5787,,,,
A,11,GOLFINA,101,11/07/2022,25/08/2022,99,2,,8,2022,98.02%,,89.03193,,,,
A,12,GOLFINA,88,13/07/2022,27/08/2022,85,3,,8,2022,96.59%,,77.93864,,,,
A,13,GOLFINA,86,13/07/2022,27/08/2022,83,3,,8,2022,96.51%,,76.23198,,,,
A,14,GOLFINA,87,14/07/2022,28/08/2022,86,1,,8,2022,98.85%,,77.08531,,,,
A,15,GOLFINA,91,14/07/2022,28/08/2022,90,1,,8,2022,98.90%,,80.49863,,,,
A,16,GOLFINA,92,14/07/2022,28/08/2022,92,0,,8,2022,100.00%,,81.35196,,,,
A,17,GOLFINA,101,15/07/2022,29/08/2022,100,1,,8,2022,99.01%,,89.03193,,,,
A,18,GOLFINA,100,15/07/2022,29/08/2022,95,5,,8,2022,95.00%,,88.1786,,,,
A,19,GOLFINA,65,15/07/2022,29/08/2022,64,1,,8,2022,98.46%,,58.31205,,,,
A,20,GOLFINA,60,15/07/2022,29/08/2022,57,3,,8,2022,95.00%,,54.0454,,,,
A,21,GOLFINA,126,16/07/2022,30/08/2022,116,10,,8,2022,92.06%,,110.36518,,,,
A,22,GOLFINA,99,16/07/2022,30/08/2022,98,1,,8,2022,98.99%,,87.32527,,,,
A,23,NEGRA,90,18/07/2022,01/09/2022,84,6,,9,2022,93.33%,,79.6453,,,,
A,24,GOLFINA,83,18/07/2022,01/09/2022,82,1,,9,2022,98.80%,,73.67199,,,,
A,25,NEGRA,90,18/07/2022,01/09/2022,88,2,,9,2022,97.78%,,79.6453,,,,
A,26,GOLFINA,110,19/07/2022,02/09/2022,107,3,,9,2022,97.27%,,96.7119,,,,
A,27,GOLFINA,87,19/07/2022,02/09/2022,86,1,,9,2022,98.85%,,77.08531,,,,
A,28,GOLFINA,75,19/07/2022,02/09/2022,73,2,,9,2022,97.33%,,66.84535,,,,
A,29,GOLFINA,90,19/07/2022,02/09/2022,87,3,,9,2022,96.67%,,79.6453,,,,
A,30,GOLFINA,114,19/07/2022,02/09/2022,111,3,,9,2022,97.37%,,100.12522,,,,
A,31,GOLFINA,96,19/07/2022,02/09/2022,94,2,,9,2022,97.92%,,84.76528,,,,
A,32,GOLFINA,99,19/07/2022,02/09/2022,94,5,,9,2022,94.95%,,87.32527,,,,
A,33,GOLFINA,107,20/07/2022,03/09/2022,105,2,,9,2022,98.13%,,94.15191,,,,
A,34,GOLFINA,92,20/07/2022,03/09/2022,91,1,,9,2022,98.91%,,81.35196,,,,
A,35,GOLFINA,99,20/07/2022,03/09/2022,90,9,,9,2022,90.91%,,87.32527,,,,
A,36,GOLFINA,72,20/07/2022,03/09/2022,69,3,,9,2022,95.83%,,64.28536,,,,
A,37,GOLFINA,111,21/07/2022,04/09/2022,109,2,,9,2022,98.20%,,97.56523,,,,
A,38,GOLFINA,114,22/07/2022,05/09/2022,109,5,,9,2022,95.61%,,100.12522,,,,
A,39,GOLFINA,72,22/07/2022,05/09/2022,70,2,,9,2022,97.22%,,64.28536,,,,
A,40,GOLFINA,89,23/07/2022,06/09/2022,86,3,,9,2022,96.63%,,78.79197,,,,
A,41,GOLFINA,61,23/07/2022,06/09/2022,60,1,,9,2022,98.36%,,54.89873,,,,
A,42,GOLFINA,95,24/07/2022,07/09/2022,91,4,,9,2022,95.79%,,83.91195,,,,
A,43,GOLFINA,96,24/07/2022,07/09/2022,95,1,,9,2022,98.96%,,84.76528,,,,
A,44,GOLFINA,92,24/07/2022,07/09/2022,90,2,,9,2022,97.83%,,81.35196,,,,
A,45,GOLFINA,118,24/07/2022,07/09/2022,116,2,,9,2022,98.31%,,103.53854,,,,
